id,question,정답위치,시스템이_쓴_근거,답변,judge,메모
q014,H100에서 냉각 팬 교체 경고는 몇 시간을 기준으로 뜨나요?,ls-h100-v1 p.361-361,ls-h100-v1 p.360-362; ls-g100-v1 p.239-241,"제공된 근거 자료에는 H100 인버터의 냉각 팬 교체 경보가 **몇 시간 (시간 단위)**을 기준으로 발생하는지에 대한 구체적인 수치나 기준이 명시되어 있지 않습니다. 근거 [1]과 [7]에서는 팬 교체 경고가 ""43,200 시간을 기준으로"" 또는 ""팬 누적 사용 시간이 해당 팬 교체 경고 레벨 (%)에 도달하면"" 발생한다고 언급하고 있으나, 이 43,200 시간이라는 값이 H100 모델의 특정 기준인지, 그리고 실제 경보가 뜨는 정확한 시간 수치는 명시되어 있지 않습니다. 또한 [7]에서는 S100 시리즈를 설명하고 있으며, [1]과 [7]은 서로 다른 인버터 시리즈 (H100 vs S100) 를 다루고 있어 H100에 대한 직접적인 답변을 도출할 수 없습니다. 따라서 근거 자료에서 확인할 수 없습니다.",,
q015,H100 파라미터 초기화는 어느 코드로 하나요?,ls-h100-v1 p.262-262,ls-h100-v1 p.88-90,"H100 인버터의 파라미터 초기화를 위한 코드는 다음과 같습니다. 모든 그룹을 선택하여 초기화할 때는 **40 번 코드**를 사용합니다 [1]. 또는 특정 그룹만 선택하여 초기화할 수도 있습니다. 이 경우, 해당 그룹에 해당하는 코드를 사용해야 합니다 [1].",,
q016,H100 배터리 저전압 경보는 몇 볼트 미만일 때 발생하나요?,ls-h100-v1 p.353-353,ls-h100-v1 p.352-354,H100 시리즈는 배터리 전압이 정상 전압인 3[V] 보다 2[V] 미만이 될 경우 배터리 저전압 경보를 발생시킵니다 [1].,,
q017,S100 팬 수명 진단은 몇 시간을 기준으로 하나요?,ls-s100-v1 p.305-305,(없음),"제공된 근거 자료에는 S100 시리즈의 팬 수명 진단 기준 시간 (예: 43,200 시간 등) 에 대한 명시적인 값이 포함되어 있지 않습니다. [근거 1] 과 [근거 3] 에서는 H100 인버터의 커패시터 및 팬 수명 진단 기능에 대해 설명하고 있으나, 이는 S100 시리즈가 아닌 다른 모델 (H100) 에 해당하며, 구체적인 시간 기준은 언급하지 않았습니다. 따라서 근거 자료에서 확인할 수 없습니다.",,
q018,S100에서 IO Board Trip은 몇 초 이상 지속되면 발생하나요?,ls-s100-v1 p.418-418,ls-s100-v1 p.309-310; ls-s100-v1 p.308-309,"제공된 근거 자료에는 S100 인버터의 'IO Board Trip'가 몇 초 이상 지속되어 발생하는지에 대한 구체적인 시간 조건이나 설정 값이 포함되어 있지 않습니다. 따라서 이 질문은 근거 자료에서 확인할 수 없습니다. 근거 자료에서는 [1] 표에 IO Board Trip 가 고장 코드 중 하나로 나열되어 있으나, 발생 조건이나 지속 시간과 관련된 설명은 없으며, [2] 에서는 모터 없음 트립의 감지 시간 (Pr.33) 과 같은 다른 고장의 설정 값만 언급하고 있습니다. 따라서 답변은 다음과 같습니다: 근거 자료에서 확인할 수 없습니다",,
q019,S100 냉각 팬은 몇 년마다 갈아야 하나요?,ls-s100-v1 p.430-430,(없음),근거 자료에서 확인할 수 없습니다.,,
q020,S100 Over Current1 트립은 정격 전류의 몇 퍼센트에서 발생하나요?,ls-s100-v1 p.416-416,(없음),제공된 근거 자료에는 S100 인버터의 'Over Current1' (과전류 1) 트립이 발생하는 구체적인 전류 값이나 정격 전류 대비 퍼센트 (%)에 대한 정보가 없습니다. 따라서 이 질문에 답할 수 없습니다.,,
q021,S300 인버터의 보호 구조는 어떻게 되나요?,ls-s300-v1 p.797-797,ls-s300-v1 p.435-436; ls-s300-v1 p.436-437; ls-s300-v1 p.849-850,"S300 시리즈 인버터의 보호 기능은 전동기의 과열 및 손상을 방지하기 위한 기능과 인버터의 자체 보호 및 오작동 방지를 위한 기능이 있습니다 [1]. 전동기 보호는 별도의 온도 센서 없이 인버터 출력 전류를 이용하여 전동기의 온도 상승을 예측하고, 발열 특성에 맞게 보호 작동을 수행합니다 [1]. 이는 전동기 과열 방지 (ETH) 기능으로, ETH 트립이 발생하면 감속 정지하거나 프리런 (CoastStop) 할 수 있으며, 감속 정지 시간은 PRT-01 Trip Dec Time 에 설정한 시간이 적용됩니다 [1]. 또한 전동기 정격 전류를 기준으로 과부하가 공급되었을 때 경보 신호를 발생하거나 트립 처리할 수 있습니다 [3]. 인버터 자체 보호 기능은 인버터의 오작동을 방지하기 위한 것으로, 안전 토크 차단 (Safe Torque Off, STO) 기능을 지원합니다. STO 기능은 비상 상황 발생 시 인버터 출력을 즉시 차단하여 사용자를 보호하고 위험을 예방하며, 동작 채널에 따라 프리런 합니다 [8].",,
q022,S300에서 Smart Operator 통신 상실은 몇 초 만에 판단하나요?,ls-s300-v1 p.455-455,ls-s300-v1 p.455-455,Smart Operator 와 인버터 제어 보드 간의 통신 이상이 **2 초** 이상 지속되면 상실로 판단합니다 [1].,,
q023,S300 메인 커패시터 진단 알람 주기의 초깃값은 몇 시간인가요?,ls-s300-v1 p.472-472,(없음),근거 자료에서 확인할 수 없습니다.,,
q024,iS7 파라미터 초기화 코드는 무엇인가요?,ls-is7-v1 p.216-216,ls-h100-v1 p.262-263; ls-s300-v1 p.558-561,"iS7 인버터의 파라미터 초기화 코드는 **CNF-39**입니다. 이 코드를 사용하여 초기화를 수행할 수 있으며, 설정 값은 다음과 같습니다: * **0 (No)**: 초기화 없음 [1][7] * **1 (All Group)**: 모든 그룹을 초기화합니다 [1][7] * **2 (DRV Group)**: DRV 그룹을 초기화합니다 [1][7] * **3 (BAS Group)**: BAS 그룹을 초기화합니다 [1][7] * **4 (MOT1 Group)**: MOT1 그룹을 초기화합니다 [1][7] * **5 (V/F1 Group)**: V/F1 그룹을 초기화합니다 [1][7] * **6 (VEC1 Group)**: VEC1 그룹을 초기화합니다 [1][7] * **7 (MOT2 Group)**: MOT2 그룹을 초기화합니다 [1][7] * **8 (V/F2 Group)**: V/F2 그룹을 초기화합니다 [1][7] * **9 (VEC2 Group)**: VEC2 그룹을 초기화합니다 [1][7] * **10 (ADV Group)**: ADV 그룹을 초기화합니다 [1][7] * **11 (APP Group)**: APP 그룹을 초기화합니다 [1][7] * **12 (DIN Group)**: DIN 그룹을 초기화합니다 [1][7] * **13 (AIN Group)**: AIN 그룹을 초기화합니다 [1][7] * **14 (OUT Group)**: OUT 그룹을 초기화합니다 [1][7] * **15 (XDIN Group)**: XDIN 그룹을 초기화합니다 [1][7] * **16 (XAIN Group)**: XAIN 그룹을 초기화합니다 [1][7] * **17 (XOUT Group)**: XOUT 그룹을 초기화합니다 [1][7] * **18 (PPID Group)**: PPID 그룹을 초기화합니다 [1][7] * **19 (SYNC Group)**: SYNC 그룹을 초기화합니다 [1][7] * **20 (PRT Group)**: PRT 그룹을 초기",,
q025,iS7에서 제동 저항을 연속으로 쓸 수 있는 최대 시간은 얼마인가요?,ls-is7-v1 p.277-277,ls-m100-v1 p.179-181; ls-g100-v1 p.236-238,제동저항을 연속으로 사용할 수 있는 최대 시간은 15 초입니다 [2][9]. 이 시간보다 길게 사용하려면 Pr.66 에서 제동저항 사용률을 설정해야 합니다 [2][9].,,
q026,iS7 75kW 이하 제품의 보호구조 등급은 무엇인가요?,ls-is7-v1 p.25-25,ls-is7-v1 p.382-383; ls-is7-v1 p.16-18; ls-is7-v1 p.383-384; ls-is7-v1 p.14-16; ls-is7-v1 p.17-21; ls-is7-v1 p.375-376; ls-is7-v1 p.82-83,"제공된 근거 자료에는 iS7 75kW 이하 제품의 보호구조 등급에 대한 정보가 포함되어 있지 않습니다. [1], [2], [4], [5], [6], [8], [9] 등 모든 문서에서 제품 모델명, 정격 전압/전류, 선급 인증, 제동 유닛, 리액터 규격, 고효율 제품 목록 등은 언급되었으나, 보호구조 등급 (IP 등급 등) 에 대한 명시적 내용은 없습니다. 따라서 근거 자료에서 확인할 수 없습니다.",,
